id,title,url,author,publication date
9bbfe2a7-6190-480a-acc0-beda11ce6272,Border aid group raided again; experts say it's a pattern,https://www.timesunion.com/news/article/Border-aid-group-raided-again-experts-say-it-s-a-15626439.php,"ASTRID GALVAN, The Associated Press",2020-10-06 23:59:47 +0000
54d8466f-122e-402c-9c5d-bd278925b149,"Photo series offers insight into experience of newcomers, aims to fight anti-immigrant sentiment",https://www.cbc.ca/news/canada/manitoba/immigration-migration-stories-photos-1.5752587?cmp=rss,Jonathan Ventura,2020-10-06 23:26:13 +0000
8b6914bb-8a7d-49f2-9f45-4f12fee83978,GOP senators ask CBO how much immigration provisions in House stimulus bill will cost,https://www.foxnews.com/politics/gop-senators-cbo-illegal-immigranthouse-stimulus-bill,Fox News,2020-10-06 21:57:03 +0000
27de59bf-d89b-4e65-9a2e-caa6b602c490,El Paso massage parlor accused of offering sex services by Chinese women shut down,https://www.elpasotimes.com/story/news/crime/2020/10/06/el-paso-massage-parlor-health-massage-shut-down-undercover-case/5897915002/,Daniel Borunda,2020-10-06 21:42:52 +0000
39c91ddf-57eb-4e5b-a06e-d70a1fbd0f80,Shop These Cool Clothing Brands that Support Immigrants,https://www.cosmopolitan.com/style-beauty/fashion/g34237377/clothing-brands-supporting-immigrants/,Brooke Shunatona,2020-10-06 19:06:00 +0000
8b263144-0e0d-4c7b-b775-7eadb730b83a,"2020 National Book Awards finalists focus on BIPOC life, urgent issues",https://www.latimes.com/entertainment-arts/books/story/2020-10-06/2020-national-book-awards-finalists-rumaan-alam-malcolm-x-and-more,@laurnosa,2020-10-06 19:04:42 +0000
84f770ec-3264-4088-89a3-fe641a1c1668,WeChat Unites and Divides in America,https://www.newsrust.com/2020/10/wechat-unites-and-divides-in-america.html,Newsrust,2020-10-06 18:21:00 +0000
3190f02b-a2eb-4ad2-8240-a2c9a97bd664,"Smuggler who abandoned boat off Imperial Beach, leading to 2 deaths, gets nearly 7 year sentence",https://www.sandiegouniontribune.com/news/courts/story/2020-10-06/smuggler-julio-cesar-murillo-arce-who-abandoned-boat-off-imperial-beach-leading-to-2-deaths-gets-nearly-7-year-sentence,@Alex_Riggins,2020-10-06 16:22:11 +0000
37c7f2a9-e54e-426f-9da9-8f40a649bb2d,"With $250 million initiative, Mellon Foundation wades into monuments controversy, hoping for positive change",https://www.washingtonpost.com/entertainment/museums/mellon-foundation-250-million-dollar-monuments-project/2020/10/06/919c52d8-0744-11eb-9be6-cf25fb429f1a_print.html?noredirect=on,Philip Kennicott,2020-10-06 14:00:00 +0000
5f166ae9-534a-4dc2-a9d1-c25c9ab32d5d,Hispanic American Incomes Are Rising Faster Than Anybody Else’s,https://www.bloomberg.com/opinion/articles/2020-10-06/hispanic-american-incomes-rising-faster-than-any-other-group-s,,2020-10-06 13:30:00 +0000
93bf8014-c1c3-4dfe-a248-1ee81e60754d,How Hispanic and Asian populations influence US food culture,https://phys.org/news/2020-10-hispanic-asian-populations-food-culture.html,Lori Harwood,2020-10-06 07:43:11 +0000
dbe7b8dc-27b0-46a3-81f7-3ec03b184328,Man gets 7 years for human smuggling incident that killed 2 men,https://fox5sandiego.com/news/local-news/man-gets-7-years-for-human-smuggling-incident-that-killed-2-men/,City News Service,2020-10-06 01:17:16 +0000
83e3af32-b0c1-4cff-a99f-1dcc52b3738e,Disproportionate extinction of South American mammals drove the asymmetry of the Great American Biotic Interchange [Evolution],https://www.pnas.org/content/early/2020/09/29/2009397117.short?rss=1,"Juan D. Carrillo, Soren Faurby, Daniele Silvestro, Alexander Zizka, Carlos Jaramillo, Christine D. Bacon, Alexandre Antonelli",2020-10-05 23:41:29 +0000
7ed7caad-fac5-4ffd-af36-9c45c8c97ea0,John McClaughry: Orienting Vermont’s new immigrants,https://vtdigger.org/2020/10/05/john-mcclaughry-orienting-vermonts-new-immigrants/,Commentary,2020-10-05 23:29:35 +0000
cde76a4b-1c1e-47b8-b840-5d80b93753c6,"Ex-officials denounce ICE billboards of undocumented immigrants as ""wildly inappropriate""",https://www.cbsnews.com/news/ice-billboards-immigrants-pennsylvania-criticism-former-officials/,Camilo Montoya-Galvez,2020-10-05 14:00:01 +0000
a7c67a12-4cbc-41c7-b41d-c348b68102bd,Court Fight Over Census Tied to Plan for Excluding Illegal Immigrants,https://www.wsj.com/articles/court-fight-over-census-tied-to-plan-for-excluding-illegal-immigrants-11601902695,Paul Overberg,2020-10-05 12:58:00 +0000
924b4e27-890c-451a-94b7-191d43e94e97,The Best Way to Protect Immigrants From the Whims of Politics,https://newrepublic.com/article/159530/best-way-protect-immigrants-whims-politics,Marcia Brown,2020-10-05 10:00:00 +0000
fc606b3c-8497-43d3-b2e8-45f0284a38c3,The injustices facing immigrants and refugees,https://www.washingtonpost.com/opinions/letters-to-the-editor/the-injustices-facing-immigrants-and-refugees/2020/10/05/42fa8b52-04cb-11eb-b92e-029676f9ebec_print.html?noredirect=on,Letters to the Editor,2020-10-05 09:36:24 +0000
33b29ea4-8f75-4123-82dc-57f3e438d914,Appeals court upholds ban on holding migrant kids in hotels,https://www.timesunion.com/news/article/Appeals-court-upholds-ban-on-holding-migrant-kids-15620893.php,NOMAAN MERCHANT,2020-10-05 02:14:55 +0000
0f024f93-3f66-4fe5-93a0-7414e761847f,'I can't wait to vote.' Miami immigrants become U.S. citizens in time to pick a president,https://www.miamiherald.com/news/politics-government/election/article246144720.html#storylink=rss,webmaster,2020-10-04 18:00:06 +0000
a0132a52-3fb7-48ce-93c7-0fa883b23148,Immigrants finish naturalization process just in time for the elections,https://www.miamiherald.com/news/politics-government/election/article246184960.html#storylink=rss,webmaster,2020-10-04 17:31:44 +0000
6a0630a5-1f80-46e9-aad4-b37344c7b93d,COVID consequences: immigration interrupted and who gets Canada's first vaccines,https://www.cbc.ca/radio/costofliving/covid-consequences-immigration-interrupted-and-who-gets-canada-s-first-vaccines-1.5746377?cmp=rss,CBC Radio,2020-10-04 11:00:00 +0000
08319dab-174b-4539-bea0-11aa394be8ee,Danish far-right activists stage Koran-burning stunt in Muslim-populated neighborhood,https://www.sott.net/article/442346-Danish-far-right-activists-stage-Koran-burning-stunt-in-Muslim-populated-neighborhood,sott,2020-10-04 10:08:17 +0000
4ea863f4-dca2-4629-b364-78bf3dd6dce8,Letters to the Editor: You can't separate Trump's actions from his character,https://www.latimes.com/opinion/story/2020-10-04/you-cant-separate-trumps-actions-from-his-character,latimes,2020-10-04 10:00:06 +0000
0212b809-920f-4040-b17b-a3ed567fb1a9,Lawyer named as first Black woman to lead national party in Canada,http://m.digitaljournal.com/news/world/lawyer-named-as-first-black-woman-to-lead-national-party-in-canada/article/578997,digitaljournal,2020-10-04 07:30:12 +0000
6eb2ebe6-187c-4e03-a61f-0819d5988c8f,Pence ordered borders closed in March after CDC experts refused,https://www.post-gazette.com/news/nation/2020/10/03/Mike-Pence-closed-borders-March-CDC-order-COVID-19-coronavirus-Donald-Trump-Dr-Robert-Redfield/stories/202010030104,@PittsburghPG,2020-10-03 23:57:15 +0000
eb3bcfbf-26c8-4751-9934-712e21481445,ICE launches billboard campaign to track down illegal immigrants released by sanctuary cities,https://www.washingtonexaminer.com/news/ice-launches-billboard-campaign-to-track-down-illegal-immigrants-released-by-sanctuary-cities,Andrew Mark Miller,2020-10-03 18:14:12 +0000
f3b0c838-bef9-44be-9905-08a2dae2b315,ICE put up billboards with the mugshots of immigrants who were released from police custody,https://www.businessinsider.com/ice-launched-billboards-with-mugshots-of-immigrant-in-pennsylvania-2020-10,Sarah Al-Arshani,2020-10-03 16:02:56 +0000
4bd4e350-68a5-478d-bafe-22498b3e2cf9,"This election season, fight for principles, not culture wars",https://www.deseret.com/opinion/2020/10/3/21497561/guest-opinion-united-states-of-america-founding-principles-culture-wars-presidential-election-2020,Bryant Holloway,2020-10-03 14:00:00 +0000
d7bcfa1d-c5a1-43cc-8528-884dabf88b9a,"9% of voters are immigrants; Latinos now largest minority group, study says",https://www.star-telegram.com/news/politics-government/election/article246175415.html,Kristian Hernandez,2020-10-03 13:17:52 +0000
