Keyword,Source,Author,Title,URL,Text,Published
immigrant,The Washington Post,Nick Miroff,Hospital where activists say ICE detainees were subjected to hysterectomies says just two were performed there - The Washington Post,https://www.washingtonpost.com/immigration/ice-detainee-hysterectomies-hospital/2020/09/22/aaf2ca7e-fcfd-11ea-830c-a160b331ca62_story.html,"According to a complaint filed last week by immigrant advocates and attorneys, a former nurse who worked at the Irwin County Detention Center, Dawn Wooten, claimed that a doctor known as the uterus c… [+4796 chars]",2020-09-22T20:10:00Z
immigrant,The Washington Post,"Nick Miroff, Devlin Barrett","ICE preparing targeted arrests in ‘sanctuary cities,’ amplifying president’s campaign theme - The Washington Post",https://www.washingtonpost.com/immigration/trump-ice-raids-sanctuary-cities/2020/09/29/99aa17f0-0274-11eb-8879-7663b816bfa5_story.html,"Chad Wolf, acting secretary of the Department of Homeland Security, probably will travel to at least one of the jurisdictions where the operation will take place to boost President Trumps claims that… [+6087 chars]",2020-09-29T22:37:00Z
immigrant,The Washington Post,Jaclyn Peiser,‘Hatred is taught’: Pennsylvania’s second lady films a woman’s racist attack at the grocery store - The Washington Post,https://www.washingtonpost.com/nation/2020/10/12/gisele-fetterman-pennsylvania-verbal-assault/,"She said, Theres that n-word that Fetterman married. You dont belong here. No one wants you here. You dont belong here, Fetterman, who was born in Brazil, said in an interview with The Washington Pos… [+4408 chars]",2020-10-12T09:27:00Z
immigrant,The Washington Post,Tim Elfrink,‘They’re still not taking this seriously’: Whistleblowing nurse warns of covid-19 safety neglect at ICE facility - Washington Post,https://www.washingtonpost.com/nation/2020/09/15/ice-covid-irwin-complaint-nurse/,"Ms. Wootens whistleblowing disclosures confirm what detained immigrants have been reporting for years: gross disregard for health and safety standards, lack of medical care, and unsanitary living con… [+4579 chars]",2020-09-15T10:39:00Z
immigrant,The Washington Post,"James A. McCann, Michael Jones-Correa",Trump’s attacks prompted Latino immigrants to get more involved in American civic life,https://www.washingtonpost.com/politics/2020/10/01/trumps-attacks-prompted-latino-immigrants-get-more-involved-american-civic-life/,"How has all this affected Latino immigrants, the targets of this rhetoric and these policies? We surveyed Latino immigrants before and after the election and found patterns of civic resilience. Latin… [+5399 chars]",2020-10-01T11:00:12Z
immigrant,The Washington Post,Steven Moore,ICE is accused of sterilizing detainees. That echoes the U.S.’s long history of forced sterilization.,https://www.washingtonpost.com/politics/2020/09/25/ice-is-accused-sterilizing-detainees-that-echoes-uss-long-history-forced-sterilization/,"Forced sterilization in the U.S.
Since the early 20th century, thousands of Americans have been forcibly sterilized. Thirty-three states had eugenics boards with the power to order sterilizations. O… [+4745 chars]",2020-09-25T11:00:00Z
immigrant,The Washington Post,Valerie Strauss,A novel proposal to help millions of kids struggling with online school,https://www.washingtonpost.com/education/2020/09/23/novel-proposal-help-millions-kids-struggling-with-online-school/,"Vikki Katz, an associate professor in the School of Communication and Information at Rutgers University, has a novel idea about how to get help to millions of students, which she writes about below. … [+5661 chars]",2020-09-23T17:13:19Z
immigrant,The Washington Post,Michael O'Sullivan,"New movies to stream this week: ‘The Glorias,’ ‘Blood on the Wall,’ and more",https://www.washingtonpost.com/goingoutguide/movies/october-2-new-streaming-movie-roundup/2020/09/30/f4010966-fde7-11ea-8d05-9beaaa91c71f_story.html,"Michael O'Sullivan
Mrs. America tells the story of the womens movement from the dark side of the Force
The unsettling documentary Blood on the Wall bites into a huge mouthful of story: How the immi… [+3179 chars]",2020-10-01T14:00:00Z
immigrant,The Washington Post,Greg Sargent,Trump’s ugly rant in Minnesota shows why Republicans fear he’ll lose,https://www.washingtonpost.com/opinions/2020/10/01/trumps-ugly-rant-minnesota-shows-why-republicans-fear-hell-lose/,But Trumps latest rant at a rally in Minnesota along with a new election forecast that shows him losing Midwestern whites and a new report on rising GOP anxiety about Trump strongly suggests his pret… [+5373 chars],2020-10-01T14:41:10Z
immigrant,The Washington Post,Paulina Villegas,"Despite Trump’s actions against immigrants, these Latino voters want four more years",https://www.washingtonpost.com/politics/2020/09/24/arizona-latino-trump-supporters/,Saucedo is among a coalition of Republican Latinos in the battleground state of Arizona who believe having President Trump for a second term would guarantee their concerns and conservative social val… [+7957 chars],2020-09-24T15:23:05Z
immigrant,The Washington Post,Tim Carman,"Peking duck isn’t the same without the tableside show, but it’s still mighty fine",https://www.washingtonpost.com/goingoutguide/restaurants/peking-duck-restaurants/2020/10/06/0a7c809c-04fc-11eb-a2db-417cddf4816a_story.html,"For a price, you are dropped into another world, where you become someone whos waited on like a member of the landed aristocracy, even if youre a middle-class grinder like me. This experience is larg… [+6543 chars]",2020-10-06T13:30:00Z
immigrant,The Washington Post,Jennifer Rubin,New report on Trump’s child separation policy makes it clear: Cruelty was always the point,https://www.washingtonpost.com/opinions/2020/10/08/cruelty-was-always-point-lies-standard-procedure/,"The depravity of the policy was captured by Justice Department Inspector General Michael Horowitz, as the New York Times reported on Tuesday night. Despite repeated public denials that the Justice De… [+4775 chars]",2020-10-08T13:30:28Z
immigrant,The Washington Post,Glenn Kessler,Trump’s Social Security-illegal immigration attack on Biden misses its mark,https://www.washingtonpost.com/politics/2020/09/18/trumps-social-security-illegal-immigration-attack-biden-misses-its-mark/,The ad cites a Fox News article from 2019 as the source for that claim. But that article recounts Biden saying he would support allowing undocumented immigrants access to health care. (The Biden camp… [+7980 chars],2020-09-18T07:00:22Z
immigrant,The Washington Post,"Danielle Paquette, Borso Tall",'Cuties' sparked outrage in the U.S. The reception in Senegal was vastly different.,https://www.washingtonpost.com/world/africa/senegal-cuties-film/2020/09/16/fb8a1272-f824-11ea-85f7-5941188a98cd_story.html,"DAKAR, Senegal Lawmakers in the United States have condemned Cuties, accusing the controversial French films creators of exploiting children. But viewers in the Senegalese capital saw no such thing a… [+4313 chars]",2020-09-16T17:18:33Z
immigrant,The Washington Post,Sonny Bunch,"If ‘Cuties’ disturbs you, that’s good. What are you going to do about it?",https://www.washingtonpost.com/opinions/2020/09/15/if-cuties-disturbs-you-thats-good-what-are-you-going-do-about-it/,"Cuties follows an 11-year-old Senegalese immigrant to France named Amy (Fathia Youssouf) who finds herself repulsed by her traditional Muslim upbringing. But the alternative, the movie suggests, is k… [+3769 chars]",2020-09-15T13:48:27Z
immigrant,The Washington Post,E.J. Dionne,Amy Coney Barrett and the GOP’s hypocrisy about religion,https://www.washingtonpost.com/opinions/amy-coney-barrett-and-the-gops-hypocrisy-about-religion/2020/09/27/15fac350-00d0-11eb-897d-3a6201d6643f_story.html,"To divert attention from Barretts views and their wanton flouting of historical norms, her Republican defenders offered dire warnings about a coming religious war. They insisted that anyone who expre… [+5138 chars]",2020-09-27T16:12:45Z
immigrant,The Washington Post,Greg Miller,Allegations of racism have marked Trump’s presidency and become key issue as election nears,https://www.washingtonpost.com/national-security/trump-race-record/2020/09/23/332b0b68-f10f-11ea-b796-2dd09962649c_story.html,"Trumps private musings about Hispanics match the vitriol he has displayed in public, and his antipathy to Africa is so ingrained that when first lady Melania Trump planned a 2018 trip to that contine… [+30767 chars]",2020-09-23T14:29:10Z
immigrant,The Washington Post,Robert Barnes,"Ruth Bader Ginsburg, Supreme Court justice and legal pioneer for gender equality, dies at 87",https://www.washingtonpost.com/local/obituaries/ruth-bader-ginsburg-dies/2020/09/18/3cedc314-fa08-11ea-a275-1a2c2d36e1f1_story.html,"Supreme Court Justice Ruth Bader Ginsburg, the second woman to serve on the high court and a legal pioneer for gender equality whose fierce opinions as a justice made her a hero to the left, died Sep… [+22824 chars]",2020-09-19T00:04:00Z
immigrant,The Washington Post,Adam Taylor,Trump's dream of a Nobel Peace Prize kept alive by far-flung foreign allies,https://www.washingtonpost.com/world/2020/10/09/trump-nobel-peace-prize-foreing-allies/,"In 2018, a reporter asked him if he felt he deserved it. Everyone thinks so, but I would never say it, he responded.
Im going to get a Nobel Prize for a lot of things if they gave it out fairly, whi… [+6233 chars]",2020-10-09T11:00:00Z
immigrant,The Washington Post,James McAuley,Macron outlines new law to prevent Islamic 'separatism' in France,https://www.washingtonpost.com/world/europe/macron-islam-france/2020/10/02/ba8a1dcc-04bc-11eb-b92e-029676f9ebec_story.html,"What we need to fight is Islamist separatism, Macron said, in a speech delivered in the northwestern Paris suburb of Les Mureaux. Its a conscious, theorized, politico-religious project that materiali… [+2966 chars]",2020-10-02T18:36:11Z
immigrant,The Washington Post,Associated Press,Nurse questions medical care at immigration jail in Georgia,https://www.washingtonpost.com/health/nurse-questions-medical-care-at-immigration-jail-in-georgia/2020/09/14/1eed5708-f701-11ea-85f7-5941188a98cd_story.html,"Wooten calls a gynecologist who works outside the facility the uterus collector.
Everybody he sees has a hysterectomy just about everybody, Wooten said. Hes even taken out the wrong ovary on a young… [+2402 chars]",2020-09-15T03:33:00Z
immigrant,The Washington Post,Miriam Berger,The pandemic is an era of protests — and protest restrictions,https://www.washingtonpost.com/world/2020/10/02/coronavirus-pandemic-demonstrations-protest-restrictions/,"These rules often affect how and when people can protest. Heres what demonstrations look like in some places that have implemented new restrictions.
For months, demonstrators have been gathering wee… [+5814 chars]",2020-10-02T10:00:00Z
immigrant,The Washington Post,"Karla Adam, William Booth","Boris Johnson, who almost died of covid-19, wishes Trump a 'speedy recovery'",https://www.washingtonpost.com/world/europe/boris-johnson-covid-trump/2020/10/02/118573d6-049c-11eb-b92e-029676f9ebec_story.html,"Until Trumps positive test, Johnson was the most famous world leader to be stricken.
Like Trump, Johnson was overweight, making him more vulnerable.
Like Trump, Johnson at least initially downplaye… [+4993 chars]",2020-10-02T14:31:10Z
immigrant,The Washington Post,Karla L. Miller,Top workplaces 2020: How the concept of work has shifted - The Washington Post,https://www.washingtonpost.com/business/2020/10/13/top-workplaces-2020-redefining-work/,"Since the pandemic shut everything down, face time at my day job means conducting business through narrow digital tunnels.
When speaking, Ive learned to fix my gaze on the tiny glass eye at the top … [+11282 chars]",2020-10-13T20:54:34Z
immigrant,Politico,Mackenzie Mays,"California schools launch anti-racism plan, flouting Trump's threats",https://www.politico.com/states/california/story/2020/09/21/california-schools-launch-anti-racism-plan-flouting-trumps-threats-1317670,"An empty classroom is seen at Hollywood High School in Hollywood, Calif. | Rodin Eckenroth/Getty Images
SACRAMENTO The California Department of Education announced new anti-racism lessons and teache… [+4355 chars]",2020-09-22T00:12:20Z
immigrant,Politico,Josh Gerstein,Appeals court OKs Trump plan to end protected immigration status for 4 countries,https://www.politico.com/news/2020/09/14/court-trump-protected-immigration-414520,"The Secretarys discretion to make TPS determinations, while not without check, is undoubtedly broad and unique in nature, Judge Consuelo Callahan wrote in the appeals courts majority opinion, joined … [+4671 chars]",2020-09-14T19:24:12Z
immigrant,Politico,By Erin Durkin,"De Blasio calls Trump's funding threat 'insulting,' but empty",https://www.politico.com/news/2020/09/24/de-blasio-trump-empty-threat-421170,"De Blasio said the city will fight the move in court if it comes to that, but he predicted the threat would fizzle, similar to Trumps vow to yank federal funding from sanctuary cities with immigrant-… [+892 chars]",2020-09-24T18:05:10Z
immigrant,Politico,Janaki Chadha,How the left killed another major NYC development,https://www.politico.com/news/2020/09/25/how-the-left-killed-another-major-nyc-development-421956,"The projects fate was sealed when Velázquez began corralling other opponents to lobby against the plans, four sources with knowledge of the events said. The developers pulled the plug on Tuesday, six… [+6972 chars]",2020-09-25T22:49:20Z
immigrant,Politico,Sabrina Rodriguez and Marc Caputo,‘This is f—ing crazy’: Florida Latinos swamped by wild conspiracy theories,https://www.politico.com/news/2020/09/14/florida-latinos-disinformation-413923,"At the same time, there has been a rise of Spanish-language conservative media, especially revolving around politics connected to Colombia and Venezuela, that are increasingly showing up in the socia… [+9270 chars]",2020-09-14T08:30:09Z
immigrant,Politico,By Kimberly Wehle,The Surprising Conservatism of Ruth Bader Ginsburg,https://www.politico.com/news/magazine/2020/09/20/ruth-bader-ginsburg-conservatism-418821,"For non-lawyers, such political grades ascribed to judges by outsiders might signal personal penchants rather than an intellectually honest approach to hard legal questions. Deemed the most important… [+11468 chars]",2020-09-20T15:20:20Z
immigrant,Politico,By Zack Stanton,‘All Paths to 270 Lead Through the Latino Electorate’,https://www.politico.com/news/magazine/2020/09/17/latino-voters-2020-trump-biden-florida-arizona-nevada-swing-states-417315,"Joe Biden is well-known, but not sharply defined, said Valencia, a former aide to President Barack Obama. And with early voting already underway in some states, the window is narrowing for Joe Biden … [+23199 chars]",2020-09-17T22:42:00Z
immigrant,Politico,By Melanie Zanona,Republicans line up behind swift SCOTUS vote,https://www.politico.com/newsletters/huddle/2020/09/21/republicans-line-up-behind-swift-scotus-vote-490388,"PAYBACKS A MITCH -- Buckle up, because its about to get wild and ugly on Capitol Hill. The death of liberal Supreme Court Justice Ruth Bader Ginsburg and President Donald Trumps push to fill the seat… [+14371 chars]",2020-09-21T12:20:47Z
immigrant,Politico,By Melanie Zanona,All eyes on Mitt,https://www.politico.com/newsletters/huddle/2020/09/22/all-eyes-on-mitt-490402,"SEE YOU AT THA CROSSROADS -- At this point, it feels like a matter of when not if the Senate GOP will confirm someone to replace late Supreme Court Justice Ruth Bader Ginsburg. 
President Donald Tru… [+13941 chars]",2020-09-22T12:23:11Z
immigrant,Politico,By Theodoric Meyer,PhRMA doesn’t back Trump’s drug-discount plan,https://www.politico.com/newsletters/politico-influence/2020/09/25/phrma-doesnt-back-trumps-drug-discount-plan-790636,"Presented by the Consumer Brands Association
With Daniel Lippman
PHRMA DOESNT BACK TRUMPS DRUG-DISCOUNT CARDS: President Donald Trumps announcement on Thursday that has planned to send $200 drug di… [+9366 chars]",2020-09-25T18:40:46Z
immigrant,Politico,By Rebecca Rainey,OSHA fines meatpacking plants almost $30K after Covid-19 deaths,https://www.politico.com/newsletters/weekly-shift/2020/09/14/osha-fines-meatpacking-plants-almost-30k-after-covid-19-deaths-790387,"Presented by DoorDash
Editors Note: Weekly Shift is a weekly version of POLITICO Pros daily Employment &amp; Immigration policy newsletter, Morning Shift. POLITICO Pro is a policy intelligence platf… [+12240 chars]",2020-09-14T14:00:33Z
immigrant,Politico,"By Jeremy B. White, Carla Marinucci, Graph Massara and Mackenzie Hawkins",NEWSOM’s rough road — UC faulted for ‘inappropriate’ admissions — FORD doubles down on CA standards — Department of Labor moves on GIG WORKERS,https://www.politico.com/newsletters/california-playbook/2020/09/23/newsoms-rough-road-uc-faulted-for-inappropriate-admissions-ford-doubles-down-on-ca-standards-department-of-labor-moves-on-gig-workers-490409,"Presented by Facebook
THE BUZZ Would you trade jobs with Gov. Gavin Newsom?If youre thinking, yes, then you may be either a masochist or the mayor of San Diego.
California governors regularly have … [+15960 chars]",2020-09-23T13:13:48Z
immigrant,Politico,By Matt Friedman,"1,666 Sussex County primary ballots counted two months later",https://www.politico.com/newsletters/new-jersey-playbook/2020/09/15/1-666-sussex-county-primary-ballots-counted-two-months-later-490323,"Presented by Pre-K Our Way
Good Tuesday morning!
Last week, a mislabeled bin containing 1,666 uncounted mail-in ballots from the July 7 primary was found at the Sussex County Board of Elections. 
… [+16784 chars]",2020-09-15T11:30:16Z
immigrant,Politico,"By Carla Marinucci, Jeremy B. White, Graph Massara and Mackenzie Hawkins",LA COUNTY DEM GONZALEZ to lead BIDEN CAMPAIGN in CA — RENDON backs GASCÓN — MEGHAN MARKLE cold-calling for DEMS? — NEWSOM calls for overhaul of EDD system,https://www.politico.com/newsletters/california-playbook/2020/09/22/la-county-dem-gonzalez-to-lead-biden-campaign-in-ca-rendon-backs-gascon-meghan-markle-cold-calling-for-dems-newsom-calls-for-overhaul-of-edd-system-feinstein-gets-filibuster-heat-490395,"Presented by Facebook
THE BUZZ Gov. Gavin Newsom had some splainin to do Monday.
THE PROBLEM: How is it that California the vaunted capital of the innovation economy, home to the giants of Silicon … [+20339 chars]",2020-09-22T13:14:15Z
immigrant,Politico,"By Jeremy B. White, Graph Massara and Mackenzie Hawkins","RBG’s death rocks CA politics, KAMALA in spotlight — EDD reset — NEWSOM signs UNDOCUMENTED tax benefit — ROHRABACHER-ASSANGE offer corroborated",https://www.politico.com/newsletters/california-playbook/2020/09/21/rbgs-death-rocks-ca-politics-kamala-in-spotlight-edd-reset-newsom-signs-undocumented-tax-benefit-rohrabacher-assange-offer-corroborated-490383,"Presented by Facebook
THE BUZZ Dismay and then determination cascaded over California Democrats Friday night as they processed the death that could reshape both this election and generations of poli… [+17082 chars]",2020-09-21T13:12:29Z
immigrant,Politico,"By Jeremy B. White, Carla Marinucci, Graph Massara and Mackenzie Hawkins","TRUMP, FIRST LADY test positive for COVID — BUDGET pain ahead as PELOSI signals no deal — CAGOP back to NO. 2 — WILSON backs TRUMP’s ‘good judgment’",https://www.politico.com/newsletters/california-playbook/2020/10/02/budget-pain-ahead-as-pelosi-signals-no-deal-cagop-back-to-no-2-wilson-backs-trumps-good-judgment-house-gop-backs-big-tech-tweaks-490504,"Presented by DoorDash
THE BUZZ: California budget-planners are sharpening their axes this week.
A coronavirus aid deal isnt coming, Speaker Nancy Pelosi conceded Thursday. House Democrats couldnt s… [+18094 chars]",2020-10-02T13:14:15Z
immigrant,Politico,By Matt Friedman,The SCI on the SDA,https://www.politico.com/newsletters/new-jersey-playbook/2020/10/01/the-sci-on-the-sda-490486,"Presented by CuriosityStream
Good Thursday morning!
Gov. Phil Murphy got less than 24 hours to enjoy the millionaires tax afterglow before the stench of Trenton again splashed on his administration… [+18224 chars]",2020-10-01T11:00:37Z
