Keyword,Source,Author,Title,URL,Text,Published
refugees,The Washington Post,Nick Miroff,"Trump cuts refugee cap to lowest level ever, depicts them on campaign trail as a threat and burden - The Washington Post",https://www.washingtonpost.com/immigration/trump-cuts-refugee-cap/2020/10/01/a5113b62-03ed-11eb-8879-7663b816bfa5_story.html,"The 15,000 figure, the lowest since the 1980 Refugee Act, is a drop from the 2020 cap that was set at 18,000. Since March, the number of refugees admitted to the United States fell sharply as the cor… [+5805 chars]",2020-10-01T18:07:00Z
refugees,The Washington Post,Max Boot,Two new polls show the damage Trump has done to U.S. foreign policy - The Washington Post,https://www.washingtonpost.com/opinions/2020/09/17/two-new-polls-show-damage-trump-has-done-us-foreign-policy/,Part of the decline is due to Trumps egregious mishandling of the coronavirus. Only 15 percent of respondents give the United States good marks on the pandemic. Chinas handling of the pandemic is mor… [+4131 chars],2020-09-17T14:00:00Z
refugees,The Washington Post,Aaron Blake,Trump’s rally rhetoric is becoming uglier,https://www.washingtonpost.com/politics/2020/09/24/trumps-rally-rhetoric-is-getting-uglier/,"Over the course of the rallies, Trump has amped up his attacks on refugees and a Muslim congresswoman, his approval of violence against journalists, his baseless theories about Joe Biden and his shun… [+4710 chars]",2020-09-24T10:00:41Z
refugees,The Washington Post,Greg Sargent,Trump’s ugly rant in Minnesota shows why Republicans fear he’ll lose,https://www.washingtonpost.com/opinions/2020/10/01/trumps-ugly-rant-minnesota-shows-why-republicans-fear-hell-lose/,But Trumps latest rant at a rally in Minnesota along with a new election forecast that shows him losing Midwestern whites and a new report on rising GOP anxiety about Trump strongly suggests his pret… [+5373 chars],2020-10-01T14:41:10Z
refugees,The Washington Post,John Wagner,Election live updates: 9/11 events dominate schedules of both tickets,https://www.washingtonpost.com/elections/2020/09/11/trump-biden-live-updates/,"Trump again sought to paint a dark image of America under a Biden presidency, warning Thursday night that the former vice president would open the country to terrorists and invite members of antifa t… [+1732 chars]",2020-09-11T11:27:32Z
refugees,The Washington Post,Sam Jackson,"The long, dangerous history of right-wing calls for violence and civil war",https://www.washingtonpost.com/politics/2020/09/11/long-dangerous-history-far-rights-calls-violence-civil-war/,"He called on President Trump to declare the current unrest a nationwide insurrection and to federalize the entire National Guard to oppose it, adding, Civil war is here, right now and that the street… [+6638 chars]",2020-09-11T11:00:48Z
refugees,The Washington Post,James Hohmann,"""Will public sympathy lead to a bounce in the polls?"" Questions on the political ramifications of Trump’s COVID-19 diagnosis.",https://www.washingtonpost.com/politics/2020/10/02/daily-202-dozen-questions-gauge-political-ramifications-trumps-coronavirus-diagnosis/,This October surprise upends the presidential campaign with just over a month until Election Day. This will draw fresh attention to Trumps public and private squabbles with a number of the medical ex… [+35047 chars],2020-10-02T18:14:00Z
refugees,The Washington Post,"Steve Hendrix, Nader Durgham","Fleeing chaos and hardship, Lebanese have begun braving perilous seas",https://www.washingtonpost.com/world/middle_east/lebanon-crisis-migrants-refugees/2020/09/25/246295fc-fe4c-11ea-b0e4-350e4e60cc91_story.html,"But as newcomers to this black-market transport, the Lebanese have encountered a grisly learning curve. Some boats have become lost or caught in storms, requiring rescues at sea. Frantic families hav… [+6936 chars]",2020-09-26T12:00:00Z
refugees,The Washington Post,Dan Balz,"Poll: Sharp partisan differences now exist on foreign policy, views of American exceptionalism",https://www.washingtonpost.com/politics/poll-foreign-policy-trump-democrats/2020/09/16/8e2d903e-f836-11ea-be57-d00bb9bc632d_story.html,"In November, the council report notes, voters will not only decide who will become the next U.S. president, but also they will help determine the path U.S. foreign policy takes either working in part… [+7380 chars]",2020-09-17T11:00:00Z
refugees,The Washington Post,Miriam Berger,"Days after fires destroyed Europe's largest migrant camp, more than 11,500 people are still sleeping outside",https://www.washingtonpost.com/world/2020/09/11/moria-camp-fires-lesbos-greece-refugees-11500-displaced/,"Advocates have called for the immediate relocation of residents to safer accommodations on Greeces mainland or other European countries.
A fire first broke out Tuesday night in the overcrowded and s… [+3720 chars]",2020-09-11T17:57:20Z
