Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
migrant,The Washington Post,"Laura Reiley and Beth Reinhard, The Washington Post",Virus's unseen hotzone: The American farm...,https://www.washingtonpost.com/business/2020/09/24/seasonal-farm-workers-coronavirus/,"In Yakima County, Wash., some fruit orchard owners declined on-site testing of workers by health departments at the height of harvest season even as coronavirus infections spiked. In Monterey, Calif.… [+17549 chars]",2020-09-25T00:40:38Z,0.0,0.0,0.0,1.0
migrant,The Washington Post,"Nick Miroff, Devlin Barrett","ICE preparing targeted arrests in ‘sanctuary cities,’ amplifying president’s campaign theme - The Washington Post",https://www.washingtonpost.com/immigration/trump-ice-raids-sanctuary-cities/2020/09/29/99aa17f0-0274-11eb-8879-7663b816bfa5_story.html,"Chad Wolf, acting secretary of the Department of Homeland Security, probably will travel to at least one of the jurisdictions where the operation will take place to boost President Trumps claims that… [+6087 chars]",2020-09-29T22:37:00Z,-0.4404,0.182,0.0,0.818
migrant,The Washington Post,Spencer Hsu,"Justice Dept. sues to seize profits of tell-all Melania Trump book, citing White House nondisclosure pact - The Washington Post",https://www.washingtonpost.com/local/legal-issues/melania-book-lawsuit/2020/10/13/a06398f8-0d98-11eb-8a35-237ef1eb2ef7_story.html,"In a statement, Wolkoff said she fulfilled the agreement and that its confidentiality provisions ended when the White House terminated it. The President and First Ladys use of the US Department of Ju… [+5124 chars]",2020-10-14T01:05:00Z,0.743,0.0,0.27,0.73
migrant,The Washington Post,Jada Yuan,Melania Trump is having a hard time distancing herself from the president - The Washington Post,https://www.washingtonpost.com/lifestyle/style/melania-trump-covid-tapes/2020/10/13/a41f7e10-04ee-11eb-897d-3a6201d6643f_story.html,"The timing of the statement, about the care she is taking to prevent the spread of the virus while her infectious husband returned to the White House, was its own kind of statement. This first lady w… [+10201 chars]",2020-10-13T17:00:00Z,-0.1027,0.097,0.0,0.903
migrant,The Washington Post,Jennifer Rubin,Here’s what Chris Wallace needs to ask at next week’s debate,https://www.washingtonpost.com/opinions/2020/09/23/heres-what-chris-wallace-needs-ask/,"Trump, who reportedly has not practiced for the debate, may be in for a rude awakening next week. Consider some possible questions for the first three topics (we will do the others on Thursday):
The… [+5141 chars]",2020-09-23T13:45:55Z,0.0,0.0,0.0,1.0
migrant,The Washington Post,"Joanna Slater, Kareem Fahim, Katie McQue","Migration, in reverse: Coronavirus forces migrant workers to return home",https://www.washingtonpost.com/graphics/2020/world/coronavirus-migration-trends-gulf-states-india/,"In his long years away from his family, Ramakrishnan Athekkatil often imagined what it would be like to settle down back in India.
He never imagined he would return like this: laid off, in debt and … [+18108 chars]",2020-10-01T15:54:22Z,0.0,0.0,0.0,1.0
migrant,The Washington Post,"Chico Harlan, Elinda Labropoulou","After fire guts Europe's biggest migrant camp, Greece erects tents, other countries offer little",https://www.washingtonpost.com/world/europe/moria-refugee-camp-fire/2020/09/16/0d301a94-f6a4-11ea-85f7-5941188a98cd_story.html,"The new camp sits on a converted military practice range. It consists of hundreds of white tents, arranged in rows in the dirt. People moving in must submit to an immediate coronavirus lockdown.
You… [+5702 chars]",2020-09-16T19:22:24Z,-0.34,0.156,0.0,0.844
migrant,The Washington Post,Katerina Ang,Singapore — a poster child for globalism — is taking a nativist turn,https://www.washingtonpost.com/world/asia_pacific/singapore-visa-clampdown-coronavirus-foreign-workers/2020/09/18/16b014a2-f3f7-11ea-8025-5d3489768ac8_story.html,"Although officials have condemned the abuse, a thread of nativism has entered mainstream discourse as Singapore, which has ambitions of supplanting politically troubled Hong Kong as Asia's financial … [+6764 chars]",2020-09-20T11:00:00Z,0.0,0.0,0.0,1.0
migrant,The Washington Post,Siobhán O'Grady,Outcry after reports Britain considered sending asylum seekers to island in the South Atlantic,https://www.washingtonpost.com/world/2020/09/30/outcry-after-reports-britain-considered-sending-asylum-seekers-island-south-atlantic/,"The British Home Office appears to have since scrapped plans to send asylum seekers to such far-flung locations, the newspaper reported.
But even that the idea had been floated drew ire from opposit… [+3546 chars]",2020-09-30T17:05:27Z,-0.5106,0.202,0.0,0.798
migrant,The Washington Post,"Elinda Labropoulou, Chico Harlan",Greek court convicts far-right party leaders of running a criminal organization,https://www.washingtonpost.com/world/europe/greece-court-extreme-right/2020/10/07/b18261a4-07ea-11eb-8719-0df159d14794_story.html,"The ruling all but cements the fall of Golden Dawn, a party that a decade earlier had grown on the back of Greeces financial and migrant crises and presaged the rise of other, less extreme European n… [+3757 chars]",2020-10-07T11:19:24Z,-0.1779,0.241,0.191,0.567
migrant,The Washington Post,Greg Miller,Allegations of racism have marked Trump’s presidency and become key issue as election nears,https://www.washingtonpost.com/national-security/trump-race-record/2020/09/23/332b0b68-f10f-11ea-b796-2dd09962649c_story.html,"Trumps private musings about Hispanics match the vitriol he has displayed in public, and his antipathy to Africa is so ingrained that when first lady Melania Trump planned a 2018 trip to that contine… [+30767 chars]",2020-09-23T14:29:10Z,-0.6249,0.24,0.0,0.76
migrant,The Washington Post,Claire Parker,Economic fallout from coronavirus leads to surge in Tunisians leaving for Europe,https://www.washingtonpost.com/world/middle-east/coronavirus-tunisia-migrants-italy/2020/09/23/ad4c37cc-fc0f-11ea-b0e4-350e4e60cc91_story.html,"During the first eight months of this year, nearly 8,000 Tunisians crossed the Mediterranean to Italy, six times as many as last year, according to the Office of the U.N. High Commissioner for Refuge… [+8078 chars]",2020-09-24T10:00:00Z,0.0,0.0,0.0,1.0
migrant,The Washington Post,Eva Dou,China's mealtime appeal amid food supply worries: Don't take more than you can eat,https://www.washingtonpost.com/world/asia_pacific/china-food-shortage-clean-plate/2020/10/02/578daa0e-0223-11eb-b92e-029676f9ebec_story.html,"The pandemic and extreme weather have disrupted agricultural supply chains, leaving food prices sharply higher in countries as diverse as Yemen, Sudan, Mexico and South Korea. The United Nations warn… [+5817 chars]",2020-10-03T11:00:00Z,-0.4215,0.177,0.0,0.823
