Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
migrants,The Washington Post,"Nick Miroff, Devlin Barrett","ICE preparing targeted arrests in ‘sanctuary cities,’ amplifying president’s campaign theme - The Washington Post",https://www.washingtonpost.com/immigration/trump-ice-raids-sanctuary-cities/2020/09/29/99aa17f0-0274-11eb-8879-7663b816bfa5_story.html,"Chad Wolf, acting secretary of the Department of Homeland Security, probably will travel to at least one of the jurisdictions where the operation will take place to boost President Trumps claims that… [+6087 chars]",2020-09-29T22:37:00Z,-0.4404,0.182,0.0,0.818
migrants,The Washington Post,Nick Miroff,"Trump cuts refugee cap to lowest level ever, depicts them on campaign trail as a threat and burden - The Washington Post",https://www.washingtonpost.com/immigration/trump-cuts-refugee-cap/2020/10/01/a5113b62-03ed-11eb-8879-7663b816bfa5_story.html,"The 15,000 figure, the lowest since the 1980 Refugee Act, is a drop from the 2020 cap that was set at 18,000. Since March, the number of refugees admitted to the United States fell sharply as the cor… [+5805 chars]",2020-10-01T18:07:00Z,-0.8779,0.41,0.0,0.59
migrants,The Washington Post,"Marissa J. Lang, The Washington Post",Concern over ethics of using on human beings...,http://www.washingtonpost.com/local/dc-protest-lafayette-square/2020/09/16/ca0174e4-f788-11ea-89e3-4b9efa36dc64_story.html,"<ul><li>President Donald Trump holds up a Bible outside of St John's Episcopal Church across Lafayette Square in Washington, D.C. in June. Several readers express their fears about Trumps possible re… [+9418 chars]",2020-09-17T03:04:36Z,0.0,0.0,0.0,1.0
migrants,The Washington Post,"Kevin Sieff, The Washington Post","Under U.S.-Mexico border, miles of tunnels worth millions of dollars...",http://www.washingtonpost.com/world/the_americas/mexico-border-tunnels-drugs/2020/10/09/0f4dafe8-0438-11eb-897d-3a6201d6643f_story.html,"Members of Mexico's National Guard patrol the international sewage and drainage system that connects Nogales, Mexico, with Nogales, Ariz. The guardsmen regularly find tunnels dug by drug traffickers … [+9373 chars]",2020-10-13T12:34:38Z,0.2263,0.0,0.174,0.826
migrants,The Washington Post,"Jessica Gottlieb, Adrienne LeBas",How the coronavirus pandemic is fueling ethnic hatred,https://www.washingtonpost.com/politics/2020/09/18/megacities-pandemics-economic-crisis-is-fueling-ethnic-hatred/,"In Asia and Africa, fast-growing megacities have attracted waves of new urban migrants of different ethnic, religious and cultural backgrounds from those of established city residents. We wanted to k… [+6351 chars]",2020-09-18T11:00:00Z,-0.6369,0.375,0.0,0.625
migrants,The Washington Post,Marissa Lang,"Federal officials stockpiled munitions, sought ‘heat ray’ device before clearing Lafayette Square, whistleblower says - The Washington Post",https://www.washingtonpost.com/local/dc-protest-lafayette-square/2020/09/16/ca0174e4-f788-11ea-89e3-4b9efa36dc64_story.html,D.C. National Guard Maj. Adam D. DeMarco told lawmakers that defense officials were searching for crowd control technology deemed too unpredictable to use in war zones and had authorized the transfer… [+8636 chars],2020-09-17T00:30:00Z,0.0,0.0,0.0,1.0
migrants,The Washington Post,Michael O'Sullivan,"New movies to stream this week: ‘The Glorias,’ ‘Blood on the Wall,’ and more",https://www.washingtonpost.com/goingoutguide/movies/october-2-new-streaming-movie-roundup/2020/09/30/f4010966-fde7-11ea-8d05-9beaaa91c71f_story.html,"Michael O'Sullivan
Mrs. America tells the story of the womens movement from the dark side of the Force
The unsettling documentary Blood on the Wall bites into a huge mouthful of story: How the immi… [+3179 chars]",2020-10-01T14:00:00Z,0.0,0.0,0.0,1.0
migrants,The Washington Post,Paul Waldman,Trump’s pandemic lies unmask his contempt for the American public,https://www.washingtonpost.com/opinions/2020/09/14/trumps-pandemic-lies-unmask-his-contempt-american-public/,"But now were seeing something that in its way is just as shocking: With the death toll from covid-19 approaching 200,000, Trump is still downplaying the pandemic, in both word and deed. His decisions… [+4675 chars]",2020-09-14T16:28:56Z,-0.765,0.452,0.0,0.548
migrants,The Washington Post,"Chico Harlan, Elinda Labropoulou","After fire guts Europe's biggest migrant camp, Greece erects tents, other countries offer little",https://www.washingtonpost.com/world/europe/moria-refugee-camp-fire/2020/09/16/0d301a94-f6a4-11ea-85f7-5941188a98cd_story.html,"The new camp sits on a converted military practice range. It consists of hundreds of white tents, arranged in rows in the dirt. People moving in must submit to an immediate coronavirus lockdown.
You… [+5702 chars]",2020-09-16T19:22:24Z,-0.34,0.156,0.0,0.844
migrants,The Washington Post,Alyssa Rosenberg,There has never been a better time to read J.K. Rowling’s books,https://www.washingtonpost.com/opinions/2020/09/24/jk-rowling-controversy-transgender-harry-potter-author-statements-women/,"Although Rowling is no stranger to Internet controversy, this issue is a serious departure from hijinks at a fancy magic boarding school. For some time, Rowlings online activity seemed to court left-… [+5251 chars]",2020-09-24T19:36:37Z,-0.3412,0.194,0.0,0.806
migrants,The Washington Post,Jose A. Del Real,"In Central Florida, Latino evangelicals could give Trump an edge",https://www.washingtonpost.com/politics/in-central-florida-latino-evangelicals-could-give-trump-an-edge/2020/10/06/39c1d824-fd19-11ea-9ceb-061d646d9c67_story.html,"Many of his fellow evangelical worshipers at a large Latino church in Central Florida will probably vote for Trump, too.
When I think about politics overall, Im always looking at things through my r… [+10613 chars]",2020-10-07T15:40:00Z,0.0,0.0,0.0,1.0
