Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
refugee,The Washington Post,Nick Miroff,"Trump cuts refugee cap to lowest level ever, depicts them on campaign trail as a threat and burden - The Washington Post",https://www.washingtonpost.com/immigration/trump-cuts-refugee-cap/2020/10/01/a5113b62-03ed-11eb-8879-7663b816bfa5_story.html,"The 15,000 figure, the lowest since the 1980 Refugee Act, is a drop from the 2020 cap that was set at 18,000. Since March, the number of refugees admitted to the United States fell sharply as the cor… [+5805 chars]",2020-10-01T18:07:00Z,-0.8779,0.41,0.0,0.59
refugee,The Washington Post,Gillian Brockell,How Jewish history and the Holocaust fueled Ruth Bader Ginsburg’s quest for justice - The Washington Post,https://www.washingtonpost.com/history/2020/09/19/rbg-ruth-bader-ginsburg-holocaust-jewish/,"I had the good fortune to be a Jew born and raised in the U.S.A. My father left Odessa bound for the New World in 1909, at age 13; my mother was first in her large family to be born here, in 1903, ju… [+8879 chars]",2020-09-19T11:41:00Z,0.5267,0.0,0.185,0.815
refugee,The Washington Post,"Rebecca Sanders, Jack Mewhirter","New survey: Yes, Americans will give up liberties to fight the coronavirus",https://www.washingtonpost.com/politics/2020/09/28/new-survey-yes-americans-will-give-up-liberties-fight-coronavirus/,"President Trump has endorsed their calls for reopening, accusing Democrats, the news media and state officials of exaggerating the coronaviruss risks. Recently, Attorney General William P. Barr echoe… [+5329 chars]",2020-09-28T11:00:27Z,0.5267,0.148,0.341,0.511
refugee,The Washington Post,Greg Sargent,Trump’s ugly rant in Minnesota shows why Republicans fear he’ll lose,https://www.washingtonpost.com/opinions/2020/10/01/trumps-ugly-rant-minnesota-shows-why-republicans-fear-hell-lose/,But Trumps latest rant at a rally in Minnesota along with a new election forecast that shows him losing Midwestern whites and a new report on rising GOP anxiety about Trump strongly suggests his pret… [+5373 chars],2020-10-01T14:41:10Z,-0.891,0.624,0.0,0.376
refugee,The Washington Post,houston chronicle,Prominent Southern Baptists dropping 'Southern' name amid racial unrest...,https://www.washingtonpost.com/religion/2020/09/15/southern-baptist-name-great-commission-baptist/,"Prominent Southern Baptists are dropping 'Southern' name amid racial unrest
Leaders in the Southern Baptist Convention are increasingly dropping the ""Southern"" part of their Baptist name, calling it … [+9818 chars]",2020-09-15T12:00:15Z,0.3182,0.0,0.223,0.777
refugee,The Washington Post,James Hohmann,"""Will public sympathy lead to a bounce in the polls?"" Questions on the political ramifications of Trump’s COVID-19 diagnosis.",https://www.washingtonpost.com/politics/2020/10/02/daily-202-dozen-questions-gauge-political-ramifications-trumps-coronavirus-diagnosis/,This October surprise upends the presidential campaign with just over a month until Election Day. This will draw fresh attention to Trumps public and private squabbles with a number of the medical ex… [+35047 chars],2020-10-02T18:14:00Z,0.3612,0.0,0.128,0.872
refugee,The Washington Post,David Weigel,The Trailer: Biden goes to where his party lost,https://www.washingtonpost.com/politics/2020/10/01/trailer-biden-goes-where-his-party-lost/,"ALLIANCE, Ohio Joe Biden had come to town, but it wasnt exactly easy to see him. The Democratic nominee, traveling through eastern Ohio on a chartered train, had stopped here for a socially distanced… [+23572 chars]",2020-10-01T21:57:54Z,0.1027,0.192,0.225,0.583
refugee,The Washington Post,Ashley Parker,Trump brings divisiveness and invective back to the rally stage,https://www.washingtonpost.com/politics/trump-rallies-divisive/2020/09/28/a5114d68-fea8-11ea-830c-a160b331ca62_story.html,"And he claimed falsely that the deadly coronavirus, which has so far killed more than 200,000 Americans, affects virtually nobody and that states should reopen their schools.
In eight rallies over t… [+10832 chars]",2020-09-28T10:00:00Z,0.0,0.0,0.0,1.0
refugee,The Washington Post,Marc Fisher,"The Undecideds: Sure, Biden and Trump are very different. But maybe neither is right for the job.",https://www.washingtonpost.com/politics/undecided-voters-2020-presidential-debates/2020/09/27/0911c650-fd9e-11ea-8d05-9beaaa91c71f_story.html,"The Boltzes, who live in a rural area half an hour outside Pittsburgh, find themselves squarely between their children. Their son who lives next door is more conservative than they are and supports T… [+11149 chars]",2020-09-28T10:00:00Z,0.3182,0.0,0.126,0.874
refugee,The Washington Post,"Loveday Morris, Luisa Beck",Germany suspends dozens of police officers for neo-Nazi chat messages,https://www.washingtonpost.com/world/europe/germany-suspends-dozens-of-police-officers-for-neo-nazi-chat-messages/2020/09/16/0f10d044-f80a-11ea-85f7-5941188a98cd_story.html,"We are talking about the nastiest and most disgusting Neo-Nazi, racist, and refugee-hostile hatred, he said.
More than 100 images with content punishable by law were shared in five WhatsApp chat gro… [+1588 chars]",2020-09-16T11:53:00Z,0.0,0.0,0.0,1.0
